layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot3,7,93,11086,84
1,bot3,33,67,17829,119
2,bot3,42,58,32791,112
3,bot3,36,64,41495,110
4,bot3,49,51,74495,132
5,bot3,5,95,11340,82
6,bot3,24,76,21104,90
7,bot3,26,74,26806,109
8,bot3,26,74,35772,89
9,bot3,21,79,26967,95
0,bot4,48,52,34031,135
0,bot5,94,6,27154,190
1,bot4,51,49,32356,131
1,bot5,81,19,20571,173
2,bot4,59,41,31053,143
2,bot5,80,20,29291,172
3,bot4,61,39,38535,148
3,bot5,87,13,20972,184
4,bot4,57,43,24280,128
4,bot5,90,10,20805,186
5,bot4,40,60,29489,109
5,bot5,85,15,22883,180
6,bot4,30,70,37052,100
6,bot5,86,14,22840,183
7,bot4,43,57,30856,137
7,bot5,81,19,21565,178
8,bot4,42,58,60748,115
8,bot5,89,11,26430,185
9,bot4,48,52,36958,126
9,bot5,83,17,31290,176
