layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot3,56,44,35866,137
1,bot3,50,50,58452,112
2,bot3,43,57,62390,102
3,bot3,45,55,38068,111
4,bot3,40,60,32054,95
5,bot3,49,51,42206,126
6,bot3,41,59,38445,110
7,bot3,44,56,54932,123
8,bot3,39,61,46738,99
9,bot3,51,49,52584,122
0,bot4,70,30,29832,152
0,bot5,73,27,31089,159
1,bot4,64,36,22290,150
1,bot5,72,28,26966,161
2,bot4,77,23,32067,161
2,bot5,87,13,50691,178
3,bot4,69,31,25608,148
3,bot5,79,21,27973,175
4,bot4,78,22,28414,167
4,bot5,84,16,28167,176
5,bot4,60,40,26673,132
5,bot5,68,32,28087,143
6,bot4,72,28,26476,156
6,bot5,78,22,29154,168
7,bot4,76,24,32078,167
7,bot5,70,30,26917,156
8,bot4,66,34,25871,141
8,bot5,80,20,30929,169
9,bot4,68,32,25888,152
9,bot5,85,15,35627,177
