layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot4,62,38,17319,146
0,bot5,84,16,24160,181
1,bot4,87,13,20628,177
1,bot5,80,20,23249,170
2,bot4,81,19,18729,172
2,bot5,87,13,21148,179
3,bot4,76,24,16848,166
3,bot5,92,8,23411,191
4,bot4,66,34,17536,151
4,bot5,94,6,19953,194
5,bot4,92,8,19318,191
5,bot5,86,14,19506,180
6,bot4,63,37,14886,150
6,bot5,87,13,16493,179
7,bot4,69,31,18737,155
7,bot5,91,9,25079,190
8,bot4,73,27,19825,154
8,bot5,81,19,22269,175
9,bot4,85,15,19384,179
9,bot5,92,8,21995,189
