layout,bot,successes,failures,moves to crewmate,crewmates saved
0,bot4,90,10,16853,186
0,bot5,83,17,25451,177
1,bot4,90,10,17571,185
1,bot5,81,19,18461,171
2,bot4,92,8,17316,190
2,bot5,75,25,19676,166
3,bot4,88,12,18148,177
3,bot5,69,31,15320,154
4,bot4,85,15,15555,171
4,bot5,76,24,19061,163
5,bot4,88,12,17316,182
5,bot5,88,12,20571,184
6,bot4,88,12,17230,181
6,bot5,75,25,43030,164
7,bot4,88,12,16216,179
7,bot5,71,29,14187,156
8,bot4,84,16,16814,180
8,bot5,75,25,18617,167
9,bot4,92,8,16271,187
9,bot5,83,17,20316,176
